,territorio,anno,popolazione_totale,detenuti,detenuti_maschi,detenuti_stranieri,furti_con_strappo_denunciati,furti_denunciati,furti_in_abitazione_denunciati,omicidi_volontari_consumati,rapine_denunciate,rapine_in_banca_denunciate,vittime_di_omicidio_maschi,vittime_di_omicidio_femmine,indice_di_affollamento,rischio_di_criminalità_percepito_dalle_famiglie,stranieri_residenti,var_assoluta_popolazione_totale,var_perc_popolazione_totale,var_assoluta_detenuti,var_perc_detenuti,var_assoluta_detenuti_maschi,var_perc_detenuti_maschi,var_assoluta_detenuti_stranieri,var_perc_detenuti_stranieri,var_assoluta_furti_con_strappo_denunciati,var_perc_furti_con_strappo_denunciati,var_assoluta_furti_denunciati,var_perc_furti_denunciati,var_assoluta_furti_in_abitazione_denunciati,var_perc_furti_in_abitazione_denunciati,var_assoluta_omicidi_volontari_consumati,var_perc_omicidi_volontari_consumati,var_assoluta_rapine_denunciate,var_perc_rapine_denunciate,var_assoluta_rapine_in_banca_denunciate,var_perc_rapine_in_banca_denunciate,var_assoluta_vittime_di_omicidio_maschi,var_perc_vittime_di_omicidio_maschi,var_assoluta_vittime_di_omicidio_femmine,var_perc_vittime_di_omicidio_femmine,var_assoluta_stranieri_residenti,var_perc_stranieri_residenti
270,Trentino-Alto Adige/Südtirol,2022,1077143.0,416.0,389.00000000000006,258.0,68.88758013848823,9270.870567623215,1210.0253206934453,3.9934829065790285,279.54380346053193,0.0,0.7986965813158057,3.1947863252632227,88.56015779092702,10.1,98267,3569.0,0.33244098683462564,28.0,7.216494845360821,22.000000000000057,5.994550408719368,11.0,4.453441295546567,24.90781263306981,56.63470737993579,397.9524734050483,4.485023632353435,-28.404950652314483,-2.2936253505373205,-0.004677775731736666,-0.11699819250469146,7.6688770633998615,2.8207371547745552,-0.9995401705776913,-100.0,0.7986965813158057,inf,-0.8033743570475429,-20.093598554003755,877.0,0.9005031317383727
271,Trentino-Alto Adige/Südtirol,2023,1082702.0,449.0,413.0,274.0,105.17424189235498,12657.970426606571,1766.9272637915635,4.006637786375427,367.60901689994546,4.006637786375427,1.0016594465938566,3.0049783397815704,94.70588235294116,12.0,102890,5559.0,0.5160874647098801,33.0,7.932692307692313,23.999999999999943,6.169665809768632,16.0,6.20155038759691,36.28666175386675,52.67518713956538,3387.099858983356,36.53486298052926,556.9019430981182,46.023990868138775,0.013154879796398067,0.32940869171433906,88.06521343941353,31.503189249497066,4.006637786375427,inf,0.20296286527805096,25.41176086464294,-0.18980798548165234,-5.941179351517778,4623.0,4.704529496168597
272,Umbria,2008,879468.0,774.0,743.0000000000001,348.0,163.04679935573606,20585.161649523885,2822.1186752684193,5.0323086220906195,318.0419049161271,36.232622079052454,2.0129234488362475,3.0193851732543715,83.42541436464089,39.0,77808,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Umbria,2009,884748.0,906.0,868.0000000000001,391.0,129.66330464279307,17267.332639213506,2327.9086321915406,7.035993275190321,290.48600807571466,45.23138534050921,2.01028379291152,5.025709482278801,122.44718309859157,28.1,83652,5280.0,0.6003629466905025,132.0,17.054263565891482,125.0,16.82368775235532,43.0,12.356321839080465,-33.38349471294299,-20.47479303172751,-3317.829010310379,-16.11757569262089,-494.2100430768787,-17.512021992833915,2.0036846530997012,39.816410390730205,-27.55589684041246,-8.664234622692069,8.998763261456759,24.836080706009156,-0.002639655924727702,-0.13113543519271964,2.0063243090244294,66.44810760801217,5844.0,7.510795805058601
274,Umbria,2010,889202.0,1391.0,1314.9999999999998,652.0,120.33451643084999,16836.804423949765,2305.408777287701,7.019513458466251,207.57704084321625,14.039026916932503,6.0167258215425,1.00278763692375,147.0899470899471,21.9,88597,4454.0,0.5034201829221319,485.0,53.53200883002207,446.99999999999966,51.49769585253452,261.0,66.75191815856778,-9.328788211943078,-7.194624753427947,-430.528215263741,-2.4933104855235477,-22.499854903839605,-0.9665265463042583,-0.016479816724070062,-0.23422160993501473,-82.90896723249841,-28.54146668946903,-31.19235842357671,-68.961757834202,4.00644202863098,199.297335170195,-4.022921845355051,-80.04684432198701,4945.0,5.911394826184679
275,Umbria,2011,890134.0,1668.0,1583.0,764.9999999999999,102.23091580359866,17211.877618580387,2788.298115349132,4.009055521709751,235.53201190044783,16.036222086839008,3.0067916412823132,1.0022638804274377,148.0599647266314,21.8,91410,932.0,0.1048130795927138,277.0,19.913731128684397,268.0000000000002,20.38022813688214,112.99999999999989,17.33128834355826,-18.103600627251325,-15.04439554353013,375.0731946306223,2.2276982329086925,482.88933806143086,20.945931273392105,-3.0104579367564996,-42.88698860069255,27.954971057231575,13.467275062633766,1.9971951699065045,14.226022798614935,-3.0099341802601867,-50.02611502560597,-0.0005237564963123109,-0.05223005121194335,2813.0,3.175051073964119
276,Umbria,2012,892440.0,1679.0,1607.0,715.0,175.0404105498363,17878.12741810157,3288.7592565020673,6.001385504565817,370.0854394482254,12.002771009131633,3.0006927522829083,3.0006927522829083,122.37237237237235,32.9,95657,2306.0,0.25906211873718554,11.0,0.659472422062346,24.0,1.516108654453574,-49.999999999999886,-6.535947712418288,72.80949474623765,71.22062262076953,666.2497995211816,3.8708722795121275,500.4611411529354,17.948623871958947,1.9923299828560657,49.69574434844426,134.55342754777755,57.1274479685798,-4.033451077707374,-25.152127825777892,-0.006098888999404917,-0.20283710103716768,1.9984288718554706,199.39148869688853,4247.0,4.6460999890602706
277,Umbria,2013,891788.0,1630.0,1561.0,703.0000000000001,226.21939052765634,18353.79975537658,3931.813123861214,10.00970754547152,369.35820842789917,24.02329810913165,7.279787305797469,2.7299202396740503,112.36959761549925,37.0,97940,-652.0,-0.07305813275962914,-49.0,-2.918403811792736,-46.0,-2.862476664592406,-11.999999999999886,-1.6783216783216592,51.178979977820035,29.238379764453715,475.672337275013,2.660638478241273,643.0538673591468,19.553084224325403,4.0083220409057025,66.78994438627875,-0.7272310203262009,-0.19650354831858285,12.020527100000018,100.14793326353453,4.279094553514561,142.6035554709509,-0.27077251260885804,-9.023666698393429,2283.0,2.3866523098152737
278,Umbria,2014,887931.0,1508.0,1450.0,588.0,218.8447844934087,19338.28433569153,4957.483908090413,7.99433002715648,328.76682236681023,18.986533814496642,1.99858250678912,5.9957475203673605,106.84931506849315,34.5,96244,-3857.0,-0.4325018950692372,-122.0,-7.484662576687118,-111.0,-7.110826393337599,-115.00000000000011,-16.358463726884796,-7.374606034247648,-3.259935418023363,984.4845803149474,5.363927870176055,1025.670784229199,26.086458128049195,-2.015377518315039,-20.134229788030254,-40.59138606108894,-10.989707317960583,-5.0367642946350095,-20.966164894404958,-5.281204799008349,-72.5461414896354,3.26582728069331,119.63086808291683,-1696.0,-1.7316724525219485
279,Umbria,2015,883747.0,1404.0,1361.9999999999998,408.99999999999994,199.49168354970016,18175.687288213183,4233.213524924637,5.984750506491005,258.34173019686165,6.9822089242395045,1.9949168354970013,3.9898336709940025,93.58006042296071,47.5,93798,-4184.0,-0.47120778528961793,-104.0,-6.896551724137934,-88.00000000000023,-6.0689655172413985,-179.00000000000006,-30.442176870748305,-19.35310094370854,-8.843300053281112,-1162.5970474783462,-6.0118934404776,-724.2703831657764,-14.609636593752661,-2.0095795206654756,-25.13756016875709,-70.42509216994858,-21.42098514167412,-12.004324890257138,-63.22546815307366,-0.0036656712921188106,-0.18341355834280426,-2.005913849373358,-33.455609038895204,-2446.0,-2.5414571297950994
